distance_km,ngo_members,expiry_hours_left,past_success_rate,allocation_score
32.44,12,4.4,0.26,0.5615
6.24,25,46.4,0.5,0.7653
11.35,104,13.1,0.53,0.767
6.34,21,5.4,0.43,0.7006
3.83,37,31.4,0.71,0.8241
3.98,137,33.1,0.63,0.7866
23.9,11,10.0,0.26,0.6313
10.59,63,35.8,0.69,0.8099
14.84,7,28.0,0.51,0.6908
9.38,18,15.8,0.09,0.5801
44.98,5,1.1,0.6,0.4678
0.92,52,2.0,0.47,0.7921
2.3,99,26.7,0.76,0.8822
29.86,20,35.2,0.42,0.6129
4.16,35,25.0,0.26,0.7602
22.26,84,16.0,0.46,0.7236
24.74,101,46.1,0.98,0.9192
11.49,83,38.8,0.51,0.8451
1.83,31,32.7,0.7,0.7981
71.23,92,46.8,0.63,0.6932
4.52,7,45.6,0.25,0.5766
6.13,78,38.8,0.66,0.8624
6.31,35,31.0,0.54,0.7505
31.25,6,28.5,0.32,0.5715
12.11,27,35.6,0.51,0.7319
5.36,67,26.1,0.44,0.7536
26.86,79,4.2,0.47,0.6366
5.25,14,24.9,0.08,0.5359
13.32,102,44.6,0.95,0.8372
100.0,5,31.1,0.46,0.4933
45.3,33,27.9,0.76,0.664
21.89,40,11.9,0.63,0.7606
8.89,60,46.4,0.87,0.8674
12.57,143,44.0,0.61,0.7487
2.52,258,36.4,0.96,0.9739
24.41,25,4.0,0.13,0.5161
16.08,22,14.0,0.51,0.6789
21.28,54,6.2,0.9,0.6853
35.31,76,18.2,0.7,0.7298
20.52,43,8.1,0.61,0.715
78.84,44,12.4,0.64,0.6019
22.68,76,6.6,0.55,0.695
12.78,49,25.2,0.49,0.6123
1.1,74,46.7,0.7,0.9025
0.79,57,24.2,0.58,0.7208
13.46,108,3.0,0.91,0.775
1.53,37,3.7,0.35,0.8
27.25,116,10.6,0.78,0.7598
52.8,170,7.8,0.94,0.8291
69.52,81,11.5,0.65,0.552
6.45,114,16.4,0.46,0.8263
8.34,28,37.8,0.44,0.7808
14.71,21,15.2,0.39,0.7265
4.56,120,24.8,0.88,0.8557
7.9,8,12.1,0.4,0.7064
8.81,15,16.5,0.24,0.5836
24.65,26,22.4,0.59,0.6483
74.26,59,22.3,0.86,0.6713
11.01,68,10.0,0.44,0.6542
10.26,23,29.0,0.48,0.7912
7.93,17,19.3,0.28,0.6492
7.64,62,38.9,0.61,0.8073
1.2,92,37.4,0.65,0.8369
1.45,22,28.6,0.22,0.7028
46.58,9,40.5,0.25,0.529
8.5,49,7.5,0.57,0.8258
31.82,22,7.3,0.31,0.5864
12.19,69,27.7,0.56,0.8238
19.74,62,19.1,0.49,0.7776
11.77,60,15.5,0.39,0.6417
17.76,226,33.5,0.86,1.0
27.85,182,42.3,0.95,0.8115
16.24,45,11.7,0.62,0.7366
9.04,19,12.4,0.57,0.7286
1.3,23,27.9,0.24,0.6808
1.3,6,36.7,0.36,0.7132
43.9,82,23.3,0.89,0.7853
12.7,53,12.3,0.45,0.7129
5.6,7,32.8,0.13,0.5675
89.37,51,40.7,0.57,0.5155
4.82,27,13.4,0.12,0.5815
66.21,13,43.9,0.55,0.5168
23.64,36,3.6,0.9,0.7256
34.62,5,28.4,0.37,0.5223
6.39,15,18.8,0.59,0.7658
2.9,16,46.2,0.47,0.7069
1.52,58,4.6,0.73,0.7231
10.25,15,25.1,0.61,0.7016
14.71,8,8.2,0.35,0.6095
28.22,57,35.4,0.72,0.7678
57.7,39,46.5,0.76,0.7051
4.08,98,7.2,0.5,0.7869
2.65,74,15.7,0.44,0.8501
29.21,41,44.6,0.52,0.612
1.45,51,18.6,0.63,0.8769
6.23,36,46.4,0.79,0.787
60.33,51,15.3,0.58,0.5705
0.88,43,47.5,0.85,0.878
17.42,49,37.4,0.56,0.7066
10.72,67,3.0,0.55,0.6744
4.14,49,36.8,0.91,0.8711
2.32,117,38.1,0.74,0.9884
10.27,36,30.9,0.56,0.6399
20.91,34,4.8,0.55,0.6783
17.37,66,21.2,0.86,0.8124
19.4,10,27.3,0.41,0.7217
26.32,19,42.8,0.51,0.6499
39.98,38,8.7,0.82,0.7371
4.96,30,8.9,0.53,0.7619
21.25,35,23.0,0.71,0.6793
15.52,76,17.9,0.49,0.8118
2.27,155,6.0,0.93,0.8275
48.41,35,47.4,0.45,0.6018
3.71,33,36.2,0.64,0.7539
1.94,48,29.6,0.71,0.728
11.27,84,8.6,0.92,0.8582
16.52,37,32.4,0.68,0.7501
15.68,73,20.4,0.96,0.8338
10.14,26,31.4,0.29,0.7356
44.58,65,3.8,0.71,0.5602
30.4,57,29.8,0.39,0.7179
7.27,78,21.7,0.61,0.7982
22.98,47,9.1,0.65,0.7428
15.78,98,35.3,0.36,0.6584
1.93,67,2.1,0.71,0.8482
25.76,48,11.8,0.79,0.778
13.06,42,36.4,0.54,0.789
2.69,20,1.3,0.74,0.7741
33.27,8,12.7,0.43,0.5812
6.26,76,15.1,0.49,0.7823
14.69,46,45.3,0.67,0.7938
6.1,15,41.7,0.53,0.657
3.96,42,14.2,0.76,0.7518
1.12,11,7.5,0.36,0.7523
2.61,22,38.5,0.31,0.698
10.55,5,32.7,0.59,0.7409
10.29,65,28.4,0.75,0.9033
34.15,40,19.8,0.7,0.6683
39.75,144,11.3,0.72,0.6999
29.69,17,46.5,0.51,0.6778
22.54,104,46.0,0.81,0.7451
5.95,38,11.2,0.6,0.7427
59.26,62,10.9,0.56,0.563
20.42,14,36.9,0.31,0.6656
10.79,59,44.9,0.55,0.8228
13.57,49,42.1,0.5,0.7545
9.32,200,47.2,0.94,0.8994
38.44,9,3.0,0.54,0.4507
6.03,66,15.2,0.73,0.8701
31.68,15,35.5,0.46,0.704
17.38,38,25.3,0.75,0.7803
7.0,42,30.5,0.84,0.8517
8.75,32,3.9,0.43,0.6892
4.69,143,1.5,0.8,0.8933
7.72,39,9.7,0.76,0.7761
18.57,27,40.7,0.28,0.598
6.39,14,9.1,0.69,0.742
18.04,198,27.9,0.74,0.7859
40.39,6,21.7,0.8,0.6826
13.75,63,37.4,0.83,0.7941
12.54,100,37.6,0.48,0.7765
3.59,60,31.5,0.5,0.7537
38.58,74,32.1,0.83,0.7423
3.09,45,13.5,0.76,0.8244
16.15,5,23.1,0.67,0.6859
38.58,165,9.3,0.81,0.7178
36.89,11,25.1,0.49,0.5748
28.75,63,29.7,0.5,0.7575
18.2,23,18.9,0.61,0.7084
8.94,21,20.4,0.48,0.7234
9.19,201,15.0,0.85,0.9457
12.85,61,26.3,0.52,0.7988
6.76,33,22.0,0.39,0.7493
13.21,66,20.6,0.53,0.8102
36.13,245,30.3,0.65,0.6767
10.28,112,41.1,0.89,0.7871
9.23,10,26.5,0.73,0.7228
16.08,107,37.3,0.78,0.781
17.49,116,14.0,0.88,0.8962
1.05,5,14.2,0.36,0.7048
8.57,18,39.3,0.56,0.8582
27.63,18,14.8,0.56,0.6568
80.07,10,27.4,0.41,0.46
0.67,177,28.8,0.9,0.9507
3.32,30,27.7,0.25,0.6683
3.23,116,37.1,0.84,0.8053
20.0,11,7.0,0.51,0.6543
12.89,212,22.4,0.98,0.9384
16.86,18,27.2,0.21,0.6393
41.49,14,4.5,0.52,0.4579
9.34,164,2.8,0.97,0.8744
26.07,9,30.5,0.5,0.6729
5.68,20,18.7,0.36,0.6969
14.02,47,14.5,0.97,0.8492
26.52,30,40.8,0.34,0.6917
51.85,55,45.7,0.5,0.5936
14.47,7,11.4,0.47,0.7367
1.89,7,28.6,0.33,0.663
2.08,16,31.9,0.2,0.6712
24.47,54,45.3,0.66,0.7559
24.14,95,46.1,0.41,0.6186
20.79,43,29.0,0.49,0.6034
1.97,33,35.9,0.88,0.7742
4.79,159,10.5,0.95,0.8544
65.65,191,34.2,0.66,0.7994
15.91,46,42.8,0.64,0.6861
14.3,121,30.0,0.78,0.8412
60.98,9,28.4,0.71,0.568
1.58,74,1.2,0.89,0.8853
43.61,131,20.2,0.87,0.7267
16.96,60,6.3,0.79,0.8555
39.8,5,9.9,0.63,0.5383
37.66,153,26.3,0.8,0.7334
23.3,30,6.4,0.58,0.7185
63.26,6,16.6,0.8,0.5813
26.23,97,22.9,0.96,0.8159
23.03,69,17.8,0.7,0.795
11.21,6,17.3,0.27,0.677
17.83,17,25.7,0.46,0.6025
0.65,19,30.8,0.58,0.7236
8.26,38,45.4,0.58,0.7609
30.31,78,24.4,0.76,0.7452
58.02,39,30.9,0.47,0.5461
6.05,28,26.4,0.31,0.6554
8.32,63,13.1,0.59,0.8181
7.43,20,28.3,0.7,0.7461
3.52,53,15.6,0.5,0.7672
27.46,19,24.9,0.51,0.5524
0.62,17,33.9,0.22,0.7064
19.13,16,13.1,0.39,0.5889
16.97,35,43.3,0.81,0.7801
26.27,90,7.4,0.72,0.7851
3.22,20,5.9,0.3,0.8055
24.96,7,4.8,0.32,0.5121
5.55,145,23.9,0.9,0.8986
33.56,28,40.4,0.4,0.5642
5.71,23,32.9,0.38,0.6054
5.48,36,32.3,0.61,0.8174
84.75,22,31.3,0.33,0.4418
85.54,85,41.8,0.69,0.6645
17.0,32,31.6,0.81,0.7477
65.93,27,18.9,0.11,0.4602
14.91,56,3.7,0.61,0.7139
21.71,6,20.5,0.37,0.5146
11.28,136,27.6,0.87,0.8732
12.17,75,14.1,0.71,0.7542
13.26,25,18.6,0.47,0.6572
16.7,19,2.7,0.56,0.6726
11.46,32,36.7,0.73,0.839
8.17,32,38.8,0.7,0.8259
5.84,9,5.3,0.21,0.4889
24.09,35,7.0,0.58,0.6757
21.35,21,38.6,0.43,0.685
7.89,73,3.2,0.47,0.8042
19.21,65,10.5,0.24,0.6039
10.61,103,3.9,0.92,0.8759
10.16,10,28.4,0.44,0.7819
23.94,58,28.6,0.76,0.7298
28.99,45,12.8,0.42,0.726
2.04,24,16.0,0.76,0.8128
9.67,71,29.4,0.41,0.7236
1.85,51,47.9,0.59,0.803
21.11,121,6.4,0.82,0.8388
15.73,112,22.1,0.91,0.9002
3.19,51,29.5,0.83,0.9246
28.48,19,15.6,0.62,0.6751
12.94,70,40.2,0.19,0.6909
13.01,83,34.1,0.95,0.8954
16.14,206,39.2,0.95,0.9058
13.64,35,37.9,0.56,0.7733
100.0,41,5.4,0.72,0.4128
13.43,36,24.1,0.5,0.7185
5.74,7,34.1,0.37,0.6059
11.53,58,13.8,0.35,0.6918
67.42,40,14.0,0.81,0.6934
1.39,86,26.0,0.45,0.8248
11.31,25,17.5,0.51,0.6314
31.47,7,10.2,0.3,0.5299
6.85,14,6.9,0.27,0.5616
7.86,57,8.1,0.52,0.6755
2.53,85,46.7,0.69,0.7876
4.73,89,29.4,0.62,0.8074
2.38,126,19.2,0.83,0.9367
1.21,93,20.3,0.48,0.7504
0.94,152,1.8,0.75,0.901
14.27,27,32.1,0.25,0.6034
4.98,87,38.9,0.88,0.8958
43.91,63,42.4,0.4,0.6029
25.24,12,36.5,0.15,0.4789
28.47,23,14.0,0.39,0.6387
10.6,8,36.7,0.7,0.7587
2.14,41,37.0,0.79,0.7981
16.12,77,19.5,0.78,0.8709
46.74,11,12.5,0.42,0.5774
35.53,70,9.9,0.58,0.5609
19.3,69,32.1,0.74,0.7502
11.35,221,14.4,0.83,0.9247
1.29,12,16.2,0.61,0.76
30.65,39,11.0,0.67,0.6632
95.22,115,28.9,0.82,0.6318
2.55,55,5.5,0.92,0.8267
19.21,70,23.7,0.5,0.84
10.91,33,47.2,0.59,0.8313
18.01,14,17.0,0.49,0.605
39.1,72,40.3,0.48,0.629
59.93,32,39.4,0.67,0.5447
15.08,142,38.0,0.62,0.758
6.13,228,4.1,0.94,0.8208
2.4,26,45.7,0.47,0.7389
9.68,31,37.7,0.47,0.6885
3.63,45,32.9,0.85,0.8724
18.44,6,5.3,0.31,0.5114
9.8,115,29.8,0.7,0.8066
2.41,24,19.3,0.55,0.7288
10.25,55,26.2,0.38,0.812
4.52,19,11.3,0.21,0.5453
21.41,154,41.3,0.95,0.8848
10.05,72,2.4,0.66,0.7864
1.07,116,35.0,0.79,0.8918
63.24,37,32.8,0.78,0.6815
8.41,100,24.4,0.92,0.9213
25.37,92,44.6,0.48,0.7223
3.17,34,10.9,0.87,0.7854
2.04,18,3.7,0.45,0.7722
34.38,17,6.6,0.69,0.638
5.95,76,42.0,0.6,0.7828
8.28,43,46.8,0.54,0.7867
1.76,302,25.6,0.59,0.8189
8.48,20,44.5,0.6,0.7165
24.16,31,37.8,0.54,0.6239
20.55,50,35.8,0.64,0.7779
13.6,56,38.3,0.69,0.8089
19.78,52,44.3,0.66,0.8588
12.55,52,39.6,0.4,0.7481
8.31,5,38.5,0.43,0.699
10.47,59,34.9,0.57,0.8364
34.56,46,40.9,0.48,0.6406
11.08,90,33.7,0.73,0.8183
69.94,58,11.5,0.65,0.645
40.91,25,32.0,0.47,0.5685
3.84,88,4.2,0.71,0.9092
61.65,75,9.4,0.64,0.4847
7.09,117,16.6,0.65,0.8799
24.84,46,29.2,0.46,0.6544
12.04,103,2.1,0.83,0.7577
18.92,213,14.7,0.71,0.7662
4.26,35,16.0,0.76,0.7509
5.72,41,20.2,0.68,0.7655
38.63,18,29.2,0.27,0.5255
4.48,15,43.7,0.28,0.6357
10.4,54,45.5,0.67,0.8721
10.46,25,39.9,0.53,0.6715
2.15,24,22.1,0.41,0.7365
8.44,16,14.2,0.66,0.8061
22.77,16,16.9,0.67,0.6976
11.9,43,42.7,0.16,0.7268
17.77,6,48.0,0.46,0.6129
32.8,20,13.1,0.47,0.6517
10.04,186,6.5,0.67,0.8904
15.24,50,33.9,0.71,0.7485
64.07,202,31.0,0.83,0.7443
20.13,9,16.9,0.41,0.7456
74.85,26,13.1,0.39,0.5642
21.04,27,43.2,0.31,0.5761
14.22,71,46.6,0.52,0.6992
24.69,42,19.0,0.21,0.6317
10.11,11,39.4,0.33,0.7084
2.24,42,11.1,0.67,0.8108
7.17,60,7.7,0.55,0.8231
1.06,11,28.5,0.69,0.7624
28.47,83,24.5,0.73,0.8203
26.95,126,19.2,0.66,0.7644
36.11,12,38.2,0.37,0.6231
27.01,6,33.3,0.2,0.4773
12.68,87,37.8,0.95,0.8846
6.24,203,9.4,0.71,0.8236
27.17,13,13.7,0.71,0.7222
26.6,5,11.4,0.22,0.5028
55.79,35,46.3,0.64,0.6102
20.04,69,2.8,0.67,0.6942
25.52,7,36.7,0.55,0.6233
4.95,109,34.1,0.72,0.8013
57.43,156,32.0,0.71,0.6787
6.94,70,32.6,0.47,0.7896
27.55,113,11.5,0.72,0.6952
11.36,37,42.9,0.36,0.6972
1.41,81,18.9,0.85,0.9104
21.97,66,47.6,0.89,0.7346
3.21,58,11.6,0.84,0.821
12.29,60,30.0,0.54,0.7268
14.01,32,31.9,0.57,0.7028
12.57,67,29.3,0.59,0.7939
21.33,182,30.1,0.77,0.8914
13.1,72,24.5,0.41,0.7204
16.11,26,12.4,0.17,0.5484
29.13,28,27.7,0.59,0.7319
21.89,25,32.4,0.23,0.5943
11.5,50,25.6,0.71,0.7667
8.07,59,8.4,0.85,0.7827
6.31,35,6.1,0.6,0.7355
100.0,32,42.1,0.56,0.5457
1.26,87,2.3,0.59,0.8036
7.08,40,44.0,0.68,0.8672
30.85,18,9.2,0.4,0.6137
13.6,22,20.6,0.2,0.5583
22.33,77,28.8,0.67,0.8098
18.1,91,19.3,0.84,0.913
18.94,57,30.7,0.67,0.6967
20.64,59,12.2,0.43,0.6921
20.38,6,4.7,0.63,0.6716
28.01,14,12.6,0.21,0.6164
43.68,92,41.6,0.49,0.7642
16.51,10,39.1,0.45,0.6538
3.37,29,9.6,0.1,0.6675
17.19,6,5.0,0.45,0.5746
6.25,12,38.5,0.4,0.6273
1.42,10,1.0,0.31,0.6617
24.48,35,12.2,0.87,0.7863
8.49,17,44.9,0.36,0.696
24.57,58,34.2,0.48,0.7128
0.94,21,3.3,0.28,0.7074
1.12,102,35.4,0.88,0.7997
6.31,10,41.6,0.72,0.7638
23.49,15,15.5,0.36,0.6287
24.79,167,8.2,0.67,0.8166
1.88,29,32.5,0.88,0.8218
7.64,175,14.6,0.95,0.9852
47.55,51,3.5,0.56,0.5468
4.61,31,22.7,0.89,0.7522
9.23,52,24.1,0.51,0.7669
14.01,60,11.4,0.9,0.8458
42.41,21,24.8,0.34,0.5357
6.46,149,39.7,0.81,0.7395
7.95,94,22.8,0.82,0.8211
21.35,46,24.8,0.66,0.7703
10.87,103,43.7,0.87,0.9236
8.63,77,11.9,0.9,0.9153
17.94,94,13.4,0.67,0.8104
13.1,28,27.1,0.55,0.7465
21.62,112,27.1,0.97,0.9272
16.17,111,46.7,0.91,0.8994
79.12,79,25.6,0.87,0.7776
5.05,122,36.5,0.82,0.8471
30.83,8,26.4,0.45,0.6388
7.61,29,45.5,0.67,0.7673
24.51,31,3.8,0.55,0.6322
50.98,10,28.8,0.36,0.5011
36.74,58,16.6,0.4,0.6421
1.39,5,16.3,0.37,0.69
10.58,39,12.5,0.65,0.7184
1.15,63,4.8,0.64,0.8241
9.0,31,6.6,0.83,0.8661
18.5,80,15.7,0.68,0.8427
14.91,7,45.5,0.26,0.6076
16.64,91,47.4,0.39,0.7596
2.33,10,31.1,0.42,0.6906
47.14,125,43.2,0.75,0.6691
32.04,38,7.7,0.58,0.6037
14.37,89,8.4,0.71,0.8137
1.36,38,38.4,0.56,0.7136
19.71,68,16.8,0.68,0.8616
27.01,13,36.3,0.65,0.7537
1.41,13,46.0,0.27,0.6209
18.28,12,20.0,0.43,0.6281
36.13,58,24.9,0.66,0.6592
6.0,33,42.0,0.82,0.8424
0.88,148,16.5,0.88,0.9176
50.57,45,13.0,0.36,0.4924
19.32,42,37.8,0.9,0.8306
16.57,9,32.1,0.52,0.6182
23.14,8,16.7,0.4,0.669
25.21,41,47.0,0.52,0.6849
8.18,92,31.6,0.62,0.8812
9.49,104,16.0,0.87,0.865
22.13,61,18.2,0.72,0.8505
28.4,88,6.2,0.67,0.8371
32.67,42,29.7,0.79,0.7618
3.24,90,20.4,0.94,0.8822
9.2,25,44.4,0.79,0.7754
2.52,31,20.1,0.57,0.7779
20.18,33,17.1,0.62,0.7317
43.44,13,45.0,0.44,0.5676
15.31,6,15.3,0.44,0.7286
25.75,18,37.2,0.53,0.69
38.07,28,13.2,0.37,0.6955
15.32,6,11.5,0.71,0.7023
0.88,113,38.1,0.7,0.8847
34.68,72,44.1,0.71,0.6951
37.35,167,20.1,0.76,0.7859
16.62,64,14.0,0.72,0.7465
5.29,15,17.9,0.46,0.6416
2.03,21,27.8,0.56,0.7217
3.23,164,18.7,0.71,0.8452
9.83,28,36.6,0.36,0.6879
27.44,41,4.4,0.6,0.6478
9.76,15,44.9,0.13,0.5898
21.09,7,13.8,0.28,0.5288
25.67,56,44.1,0.61,0.7282
53.14,29,3.0,0.36,0.3828
26.23,90,28.6,0.67,0.7472
22.22,34,46.7,0.57,0.6677
4.64,64,26.7,0.68,0.8714
3.49,100,2.3,0.39,0.7017
10.84,22,39.0,0.44,0.6403
6.75,91,8.7,0.76,0.8989
12.26,11,43.6,0.54,0.6682
36.03,104,25.8,0.77,0.7452
4.95,5,16.6,0.71,0.7663
24.28,27,16.1,0.29,0.5924
11.91,92,24.7,0.56,0.792
11.57,88,44.2,0.35,0.7444
18.51,119,10.3,0.9,0.8853
24.62,9,36.8,0.56,0.5776
8.26,14,14.8,0.47,0.6798
26.72,21,3.6,0.46,0.6116
3.91,100,30.5,0.61,0.8109
47.96,107,34.8,0.51,0.6077
32.8,128,17.6,0.71,0.7862
25.39,56,23.4,0.52,0.7176
17.57,11,8.8,0.43,0.6031
53.49,10,25.4,0.13,0.4653
5.63,55,45.1,0.43,0.723
14.34,66,36.3,0.79,0.7671
9.5,22,30.8,0.29,0.6618
7.91,45,47.4,0.47,0.6475
35.1,71,27.8,0.65,0.7598
11.03,200,11.2,0.77,0.8445
13.23,15,25.5,0.27,0.6344
6.4,14,29.3,0.47,0.6974
26.74,20,24.4,0.43,0.6703
7.6,48,13.8,0.48,0.6879
0.82,6,23.1,0.65,0.7396
31.46,74,44.3,0.88,0.7417
20.26,28,38.2,0.35,0.6432
34.2,23,28.0,0.47,0.6148
33.74,21,2.6,0.53,0.4811
13.38,30,45.5,0.66,0.6985
24.4,133,42.4,0.88,0.7348
9.38,37,43.5,0.46,0.7225
0.7,64,19.3,0.81,0.9894
0.97,67,20.3,0.58,0.7887
26.57,18,23.3,0.21,0.6094
18.98,92,5.4,0.36,0.6872
1.38,10,25.5,0.47,0.7528
61.71,39,36.7,0.54,0.5275
21.68,16,37.9,0.61,0.7004
39.73,11,8.3,0.14,0.4219
15.81,29,35.5,0.52,0.8111
5.79,6,40.8,0.73,0.6639
54.88,62,32.3,0.49,0.6581
18.8,33,1.3,0.58,0.6291
100.0,31,9.6,0.41,0.4131
0.96,33,21.1,0.77,0.811
66.42,23,22.1,0.45,0.6313
2.7,69,12.1,0.79,0.897
3.7,52,45.9,0.6,0.7743
60.11,218,12.0,0.82,0.6944
46.44,121,7.0,0.63,0.6424
14.92,49,5.5,0.66,0.7462
17.56,48,41.1,0.44,0.7046
6.51,89,13.5,0.63,0.757
11.74,50,3.9,0.79,0.7404
18.26,54,8.5,0.63,0.7901
2.47,189,6.5,0.65,0.8442
9.89,25,47.7,0.28,0.6636
3.19,17,13.6,0.53,0.6367
8.41,8,42.8,0.61,0.761
37.73,21,12.4,0.21,0.4951
19.86,41,6.4,0.3,0.5903
63.72,59,5.8,0.51,0.4153
26.94,69,26.9,0.67,0.8093
36.04,25,12.0,0.27,0.593
24.25,81,1.8,0.58,0.7379
15.06,19,29.5,0.32,0.661
88.91,53,45.5,0.71,0.5939
4.63,11,28.6,0.71,0.8147
0.93,52,20.9,0.57,0.8193
21.73,43,10.6,0.71,0.6938
3.94,158,29.3,0.83,0.9067
13.49,8,22.4,0.81,0.7057
9.21,23,47.0,0.36,0.6455
64.41,51,11.0,0.46,0.481
6.12,5,42.4,0.37,0.6349
17.07,22,15.2,0.23,0.6103
5.85,87,40.2,0.37,0.7277
17.85,92,18.1,0.29,0.6676
8.41,49,19.3,0.47,0.7528
67.78,10,22.6,0.41,0.5185
22.69,56,45.6,0.78,0.7403
3.96,49,10.2,0.75,0.8065
11.32,31,5.1,0.8,0.7673
26.69,64,36.8,0.54,0.6463
19.26,8,4.1,0.66,0.7593
12.56,130,14.4,0.78,0.8007
5.59,49,8.2,0.77,0.8214
3.06,16,9.0,0.43,0.7783
60.67,28,8.8,0.38,0.6064
30.54,66,10.7,0.84,0.7574
15.48,24,36.5,0.7,0.6349
6.83,151,15.9,0.78,0.8612
30.67,87,39.7,0.44,0.7307
14.3,51,2.5,0.5,0.702
16.32,205,40.3,0.97,0.9356
13.75,14,38.7,0.56,0.7581
1.33,18,42.8,0.32,0.8008
7.85,96,34.0,0.59,0.8667
2.12,65,41.7,0.55,0.8443
65.77,18,36.8,0.35,0.4854
6.96,118,12.1,0.65,0.8985
11.52,85,5.7,0.54,0.7548
19.04,33,19.0,0.6,0.735
41.03,96,18.5,0.39,0.6354
29.45,9,28.7,0.58,0.6045
35.46,11,30.2,0.51,0.6814
10.9,178,10.5,0.75,1.0
1.24,161,9.2,0.95,0.8468
22.2,13,24.5,0.24,0.5696
9.98,43,4.4,0.68,0.7948
36.36,7,10.7,0.21,0.5191
5.46,70,17.7,0.64,0.7771
1.39,9,6.8,0.21,0.7292
9.49,26,36.6,0.48,0.6591
22.58,93,10.0,0.25,0.6424
2.32,54,19.5,0.62,0.7575
100.0,31,11.0,0.37,0.4865
5.38,122,38.2,0.87,0.8496
16.78,7,44.0,0.45,0.6551
5.66,107,38.6,0.84,0.9297
9.87,17,27.2,0.35,0.7188
22.7,56,11.4,0.96,0.7478
30.96,73,43.5,0.71,0.7628
7.07,56,15.9,0.49,0.6655
22.26,46,44.4,0.65,0.7028
4.13,39,31.7,0.46,0.6897
35.63,61,23.2,0.86,0.7345
17.53,25,17.2,0.26,0.5298
9.58,21,5.0,0.19,0.5128
10.57,149,39.9,0.72,0.8517
24.14,34,25.6,0.76,0.768
31.34,5,43.9,0.55,0.6405
11.25,61,26.8,0.87,0.8711
0.56,44,19.9,0.58,0.8361
10.46,6,17.9,0.26,0.5945
19.53,34,29.5,0.53,0.7447
14.33,26,44.9,0.8,0.7444
11.52,41,8.6,0.75,0.7322
13.58,47,27.3,0.61,0.7421
28.75,48,3.5,0.86,0.6855
25.99,65,33.9,0.52,0.7417
34.45,6,4.7,0.41,0.5661
13.11,8,10.8,0.38,0.6404
22.5,19,39.2,0.34,0.5962
15.47,63,24.1,0.31,0.7937
4.73,48,26.1,0.48,0.7305
6.1,71,35.6,0.75,0.9189
5.25,36,31.7,0.44,0.8463
11.06,42,37.7,0.3,0.6557
5.69,54,2.9,0.36,0.645
32.54,15,27.6,0.25,0.5425
13.88,26,45.0,0.19,0.6608
14.24,5,29.8,0.33,0.5978
16.15,100,16.7,0.61,0.7657
8.49,36,40.8,0.53,0.6784
13.89,81,39.9,0.5,0.7622
19.18,76,21.0,0.7,0.7591
1.15,73,13.2,0.43,0.8004
5.82,150,19.1,0.79,0.8852
22.14,92,10.8,0.53,0.7321
37.03,37,34.7,0.53,0.5769
15.48,5,24.3,0.12,0.5437
24.67,49,14.2,0.59,0.6609
12.98,45,38.7,0.86,0.8085
19.06,15,3.8,0.33,0.5733
22.58,56,7.8,0.65,0.6056
8.58,12,42.1,0.44,0.6548
9.19,11,26.4,0.51,0.6601
44.8,260,20.6,0.84,0.7751
13.39,16,5.3,0.34,0.5082
2.89,83,2.2,0.92,0.886
10.58,37,10.3,0.42,0.6684
2.14,115,30.0,0.82,0.8414
24.67,106,5.7,0.86,0.6621
14.16,33,1.5,0.48,0.707
19.68,20,13.6,0.46,0.6888
21.69,45,4.0,0.69,0.6485
0.7,52,6.8,0.86,0.8046
9.4,45,12.2,0.68,0.8318
9.6,56,2.3,0.83,0.7924
21.74,76,6.3,0.59,0.8296
9.35,29,14.5,0.62,0.7318
38.96,72,16.7,0.53,0.6397
19.97,48,45.4,0.68,0.7316
7.16,47,3.8,0.55,0.7824
1.37,29,14.8,0.31,0.7266
22.36,67,45.0,0.55,0.7451
54.52,18,15.6,0.89,0.6024
11.08,41,4.1,0.69,0.6594
100.0,21,22.3,0.52,0.4795
16.97,47,14.5,0.88,0.9157
41.96,7,21.0,0.66,0.6404
17.94,24,19.0,0.28,0.6635
56.26,7,1.7,0.63,0.4603
23.18,51,8.9,0.57,0.6939
4.2,7,16.9,0.16,0.6632
1.0,83,1.1,0.91,0.8501
25.97,19,11.1,0.59,0.6608
31.17,103,29.4,0.89,0.7531
11.35,21,16.9,0.28,0.6294
13.62,73,23.8,0.43,0.7586
42.97,159,28.0,0.62,0.7949
22.03,101,35.4,0.86,0.8227
56.19,88,32.3,0.64,0.6991
7.98,65,24.2,0.59,0.7767
7.28,26,11.1,0.23,0.6061
77.25,35,39.6,0.55,0.5878
23.19,20,37.9,0.5,0.6552
97.25,47,30.2,0.49,0.5244
1.84,38,47.7,0.92,0.8514
7.79,29,46.4,0.59,0.8078
96.46,26,7.1,0.56,0.4347
2.05,102,41.4,0.51,0.8686
15.21,40,30.7,0.34,0.5757
16.04,31,40.3,0.48,0.7885
11.43,85,14.2,0.67,0.7812
19.57,15,43.7,0.36,0.664
1.72,19,24.0,0.34,0.6992
1.86,112,36.4,0.88,0.918
35.1,91,14.4,0.87,0.8438
51.35,20,40.0,0.48,0.5528
37.57,42,6.8,0.87,0.7182
48.53,40,34.8,0.43,0.6597
6.54,48,40.6,0.73,0.7478
36.91,37,43.4,0.73,0.6734
37.01,50,45.1,0.8,0.745
1.5,108,38.9,0.73,0.8663
8.94,12,32.7,0.28,0.7429
34.39,62,30.0,0.66,0.7583
34.56,17,44.7,0.55,0.6011
